target;type;state;attack_type;date;description;url;target_website;website_certificate;certificate_vendor;type_of_certificate;website_quality (high medium low);month;year
"South Madison Community School Corporation, Madison County";Education;Indiana;Malware;12/6/2018;"Pendleton Times PostDecember 6th, 2018 Two computer viruses infected School Corporation in OctoberThough virus sources remain unknown, the IT department was able to contain the malwareMany computers upgraded, though some devices were too old & were promptly replacedRead More";http://www.pendletontimespost.com/2018/12/06/district_fends_off_computer_virus/;http://www.smadison.k12.in.us/;N;NA;NA;low;12;2018
Indiana State University;Education;Indiana;Phishing;7/28/2017;"Tribune StarJuly 28th, 20179 people potential targets in cyber-attack on universityEmployee paycheck rerouted to a fraudulent bank accountIndiana State police and office of Information Technology worked to secure systemAdvised employees to monitor direct deposit informationRead More";http://www.tribstar.com/news/local_news/isu-beats-back-phishing-attack/article_36d5d4ec-3ca9-549a-90be-2c2dbf0fbfe0.html;https://www.indstate.edu/;Y;DigiCert SHA2 High Assurance Server CA;sha256;high;7;2017
"Baugo Community Schools, Elkhart County";Education;Indiana;"Unknown, DDoS";8/20/2020;"ABC 57August 20th, 2020School district's ISP was hit during elaborate DDoS cyberattackBad actors continued attacks against the districtIT personnel, law enforcement, and network provider investigatedRead More";https://www.abc57.com/news/virtual-learning-disrupted-at-baugo-community-schools-due-to-cyber-attack;https://www.baugo.org/;Y;SSL.com RSA SSL subCA;sha256;med;8;2020
"South Knox School Corporation, Knox County";Education;Indiana;"Unknown, Malware";10/15/2019;"WTHI - TV 10October 15th, 2019Malware cyberattack used against Knox County, Indiana schoolsElementary school server remained down, affecting administrationOfficials stated that they had been prepared for such an attackRead More";https://www.wthitv.com/content/news/Malware-hits-South-Knox-School-Corporation-563169161.html;http://www.sknox.k12.in.us/;N;NA;NA;low;10;2019
"Community School Corporation of Southern Hancock County, Hancock County";Education;Indiana;"Unknown, Malware";8/6/2020;"WRTVAugust 6th, 2020Internet connections were taken out in malware cyberattackOfficials believed that personal information remained unaccessedLocal, county, and state law enforcement agencies were notified of the attackRead More";https://www.wrtv.com/news/education/hancock-county-school-district-hit-by-cyber-attack-internet-connectivity-affected;https://www.newpal.k12.in.us/;Y;R3;sha256;med;8;2020
"Northwestern Consolidated Schools, Shelby County";Education;Indiana;"Unknown, Ransomware";4/24/2019;"Shelby County Post April 24th, 2019 Imperial County website hacked from exterior sourceNetwork was attacked by Ryuk ransomwareRansomware demanded payment in bitcoin, county refused paymentRead More";https://shelbycountypost.com/news/437161;https://www.nwshelbyschools.org/;Y;R3;sha256;low;4;2019
"Penn-Harris-Madison schools, St. Joseph County";Education;Indiana;"Unknown, Ransomware";11/14/2019;"South Bend TribuneNovember 14th, 2019School network and servers affected in cyberattackOfficials stated that all internal networks were taken offlineDistrict established temporary internet for student useRead More";"https://www.southbendtribune.com/news/education/penn-harris-madison-schools-working-to-restore-network-after-ransomware/article_fa7359e7-9805-51cd-94d3-34bd65edb461.html,";https://www.phmschools.org/;Y;DigiCert SHA2 Secure Server CA;sha256;med;11;2019
"South Adams Schools District, Adams County";Education;Indiana;"Unknown, Ransomware";2/20/2020;"Wane Local NewsFebruary 20th, 2020School district hit in ransomware cyberattackThird party IT services were utilized for restorationClasses remained overall unaffected and in sessionRead More";https://www.wane.com/news/local-news/south-adams-schools-hit-with-ransomware-cyber-attack;https://www.southadams.k12.in.us/;Y;Amazon;sha256;med;2;2020
"Carmel Clay Schools notifying 15,817 after compromise of employee email accounts, Hamilton County";Education;Indiana;"Unknown,"" Data Breach";9/24/2021;"DataBreaches.netSeptember 24th"", 2021”On February 24,2021, Carmel Clay Schools in Indiana discovered suspicious activity involving employee email accounts. Their investigation revealed that there had been unauthorized access between February 15 – February 24.””On September 20, letters went out to 15,""817 people who had their personal information in those compromised email accounts.""""""""”The district’s notification to the Maine Attorney General’s Office and to those affected does not reveal whether everyone affected was an employee"", or if some of those affected may have been students or parents, “The information that could have been subject to unauthorized access includes name, address, medical information,"" and Social Security number.""""""""Read More""""";"https://www.databreaches.net/in-carmel-clay-schools-notifying-15817-after-compromise-of-employee-email-accounts/"",";https://www.ccs.k12.in.us/;Y;Cloudflare Inc ECC CA-3;sha256;med;9;2021
University of Iowa;Education;Iowa;Hack;1/19/2017;"DataBreachesJanuary 19th, 2017Investigated multiple cheating incidents caused by hackingAdvised campus community to change University account passwordsNotified 250 University staff members hackers accessed their credentialsRead More";https://www.databreaches.net/university-of-iowa-suspects-grade-tampering-reason-for-hawkid-security-breach/;https://uiowa.edu/;Y;InCommon RSA Server CA;sha256;med;1;2017
University of Iowa;Education;Iowa;Phishing;9/6/2017;"Daily IowanSeptember 6th, 2017University of Iowa students targeted in phishing attacksHacker compromises student account & sends 200 fraudulent emailsHacker used email to pose as university employeeUniversity working to implement additional security measuresRead More";http://daily-iowan.com/2017/09/06/ui-its-department-vigilant-against-hacking-schemes/;https://uiowa.edu/;Y;InCommon RSA Server CA;sha256;high;9;2017
"Graceland University, Decatur County";Education;Iowa;"Phishing, Data Breach";6/15/2019;"Bleeping Computer June 15th, 2019 Hackers were able to gain access to email accounts on several different accountsPrivate information may have been accessed including information of persons who interacted with the accounts over several yearsSome of the private information may have contained social security numbers, full names, birthdays, salaries, family information, and moreRead More";https://www.bleepingcomputer.com/news/security/three-us-universities-disclose-data-breaches-over-two-day-span/;https://www.graceland.edu/;Y;R3;sha256;high;6;2019
"Timberline billing services, Polk County";Education;Iowa;"Unknown, Data Breach";10/20/2020;"The Oskaloosa HeraldOctober 20th, 2020Contractor has experienced a data security incident that resulted a breach of personal student informationAccording to press release breach to not involve access to internal systems or student recordsSome of the files contained information concerning current and former students’ personal informationRead More";"https://www.oskaloosa.com/knoxville/ocsd-kcsd-experience-data-security-breach-of-student-info/article_a70d502c-1310-11eb-b3ab-c72b28ba609d.html,";http://www.timberlinebilling.com/;N;NA;NA;low;10;2020
"Charles City Schools, Floyd County";Education;Iowa;"Unknown, Data Breach";11/13/2020;"Mail TribuneNovember 13th, 2020Student health information likely compromisedThird party vendor's systems were hitNames, Medicaid information, dates of birth among leaked infoRead More";https://mailtribune.com/news/top-stories/jackson-county-website-down-after-ransomware-attack;https://www.charlescityschools.org/;Y;Sectigo RSA Domain Validation Secure Server CA;sha256;med;11;2020
Union Community School District Victim of File Dump on Dark Web;Education;Iowa;"Unknown, Ransomware";11/13/2020;"DataBreaches.netNovember 13th, 2020The district experienced a cyberattack prior to April 19... But now that the threat actors have dumped thousands of files with employees’ and students’ personal information on the dark webThe threat actors do not indicate in the listing when they first attacked the district or contacted them with any ransom demand, but on May 28, the threat actors updated their listing of April 19 and dumped thousands of files. They also posted a list of every computer on the district’s networkThe file dump, compromising almost 2 GB of compressed files, contained numerous files with personal and personnel information on former and current employees as well as personal information on current and former students Files with employees’ personal addresses, phone numbers, name of spouse or partner, and their birthday were also in the dump, as were salary schedules with employees’ rate of pay, date of hire, Social Security numbers, and other types of certification data and expiration dates Student-related files include lists of all students in every class and grade, but also some disciplinary incidents involving named students. There were also files with named students and Student Reporting in Iowa (SRI) information, and thousands of transcripts of students who graduated between 2003 and 2019Read More";https://www.databreaches.net/ia-union-community-school-district-publicly-silent-after-threat-actors-dump-files-on-dark-web/;https://www.union.k12.ia.us/;Y;"cPanel, Inc. Certification Authority";sha256;med;11;2020
Butler Community College;Education;Kansas;Hack;9/21/2017;"Hays PostSeptember 21st, 2017Hack disabled internet connectivity for entire community collegeIT department suspects problems were result of DDoS attackButler Community College working to mitigate issue as the school depends on internet for daily tasksRead More";https://www.hayspost.com/2017/09/21/cyber-attack-internet-connection-down-over-a-week-at-kansas-college/;https://www.butlercc.edu/;Y;Go Daddy Secure Certificate Authority - G2;sha256;high;9;2017
Arkansas City Schools;Education;Kansas;Phishing;3/14/2017;"KSNMarch 14th, 2017Arkansas City school employees fall victim to spear-phishing schemeEmployees mistakenly sent valuable W-2 data to hackersArkansas City school implementing additional safeguards to prevent future schemesRead More";http://www.ksn.com/news/local/phishing-scam-hits-ark-city-schools-fbi-and-irs-investigating/898687248;https://www.usd470.com/;Y;R3;sha256;med;3;2017
"Wichita State University, Sedgwick County";Education;Kansas;"Phishing, Date Breach";3/16/2020;"Data BreachesMarch 16th, 2020Unauthorized third party accessed university serverThird party IT firm utilized in investigating the cyberattackOfficials confirmed they would re-educate staff on safetyRead More";https://www.databreaches.net/wichita-state-university-notifying-1762-iowans-whose-personal-info-was-accessed-by-hacker;https://www.wichita.edu/;Y;GlobalSign Atlas R3 DV TLS CA 2022 Q1;sha256;med;3;2020
